 -0.21389379E+002  0.47534211E+009 -0.47534727E+009  0.47534766E+009
 -0.21366330E+002  0.46451118E+009 -0.46451633E+009  0.46451672E+009
 -0.21343281E+002  0.45392703E+009 -0.45393217E+009  0.45393257E+009
 -0.21320232E+002  0.44358405E+009 -0.44358918E+009  0.44358958E+009
 -0.21297183E+002  0.43347674E+009 -0.43348186E+009  0.43348225E+009
 -0.21274135E+002  0.42359972E+009 -0.42360483E+009  0.42360523E+009
 -0.21251086E+002  0.41394776E+009 -0.41395286E+009  0.41395326E+009
 -0.21228037E+002  0.40451572E+009 -0.40452081E+009  0.40452121E+009
 -0.21204988E+002  0.39529859E+009 -0.39530367E+009  0.39530407E+009
 -0.21181939E+002  0.38629147E+009 -0.38629655E+009  0.38629694E+009
 -0.21158890E+002  0.37748959E+009 -0.37749466E+009  0.37749505E+009
 -0.21135841E+002  0.36888826E+009 -0.36889332E+009  0.36889371E+009
 -0.21112792E+002  0.36048291E+009 -0.36048796E+009  0.36048836E+009
 -0.21089743E+002  0.35226909E+009 -0.35227412E+009  0.35227452E+009
 -0.21066694E+002  0.34424241E+009 -0.34424744E+009  0.34424784E+009
 -0.21043646E+002  0.33639863E+009 -0.33640365E+009  0.33640405E+009
 -0.21020597E+002  0.32873357E+009 -0.32873858E+009  0.32873898E+009
 -0.20997548E+002  0.32124316E+009 -0.32124817E+009  0.32124856E+009
 -0.20974499E+002  0.31392343E+009 -0.31392842E+009  0.31392882E+009
 -0.20951450E+002  0.30677047E+009 -0.30677546E+009  0.30677585E+009
 -0.20928401E+002  0.29978050E+009 -0.29978548E+009  0.29978587E+009
 -0.20905352E+002  0.29294980E+009 -0.29295476E+009  0.29295516E+009
 -0.20882303E+002  0.28627474E+009 -0.28627969E+009  0.28628009E+009
 -0.20859254E+002  0.27975177E+009 -0.27975671E+009  0.27975711E+009
 -0.20836205E+002  0.27337743E+009 -0.27338236E+009  0.27338276E+009
 -0.20813157E+002  0.26714833E+009 -0.26715325E+009  0.26715365E+009
 -0.20790108E+002  0.26106116E+009 -0.26106608E+009  0.26106647E+009
 -0.20767059E+002  0.25511269E+009 -0.25511760E+009  0.25511800E+009
 -0.20744010E+002  0.24929976E+009 -0.24930466E+009  0.24930505E+009
 -0.20720961E+002  0.24361927E+009 -0.24362417E+009  0.24362456E+009
 -0.20697912E+002  0.23806822E+009 -0.23807311E+009  0.23807350E+009
 -0.20674863E+002  0.23264366E+009 -0.23264853E+009  0.23264893E+009
 -0.20651814E+002  0.22734269E+009 -0.22734755E+009  0.22734795E+009
 -0.20628765E+002  0.22216251E+009 -0.22216736E+009  0.22216776E+009
 -0.20605716E+002  0.21710036E+009 -0.21710520E+009  0.21710560E+009
 -0.20582668E+002  0.21215355E+009 -0.21215839E+009  0.21215878E+009
 -0.20559619E+002  0.20731945E+009 -0.20732428E+009  0.20732468E+009
 -0.20536570E+002  0.20259551E+009 -0.20260033E+009  0.20260072E+009
 -0.20513521E+002  0.19797920E+009 -0.19798401E+009  0.19798441E+009
 -0.20490472E+002  0.19346807E+009 -0.19347287E+009  0.19347327E+009
 -0.20467423E+002  0.18905974E+009 -0.18906453E+009  0.18906492E+009
 -0.20444374E+002  0.18475184E+009 -0.18475663E+009  0.18475702E+009
 -0.20421325E+002  0.18054211E+009 -0.18054688E+009  0.18054728E+009
 -0.20398276E+002  0.17642829E+009 -0.17643306E+009  0.17643345E+009
 -0.20375227E+002  0.17240821E+009 -0.17241297E+009  0.17241336E+009
 -0.20352179E+002  0.16847973E+009 -0.16848448E+009  0.16848487E+009
 -0.20329130E+002  0.16464076E+009 -0.16464550E+009  0.16464589E+009
 -0.20306081E+002  0.16088926E+009 -0.16089399E+009  0.16089439E+009
 -0.20283032E+002  0.15722324E+009 -0.15722796E+009  0.15722836E+009
 -0.20259983E+002  0.15364076E+009 -0.15364547E+009  0.15364586E+009
 -0.20236934E+002  0.15013990E+009 -0.15014460E+009  0.15014500E+009
 -0.20213885E+002  0.14671881E+009 -0.14672350E+009  0.14672390E+009
 -0.20190836E+002  0.14337567E+009 -0.14338035E+009  0.14338075E+009
 -0.20167787E+002  0.14010871E+009 -0.14011338E+009  0.14011378E+009
