  -0.21667326E+02   0.10499518E-05   0.21561511E-06   0.99999873E+00   0.20146279E-33
  -0.21644300E+02   0.10744083E-05   0.22063742E-06   0.99999870E+00   0.22089955E-33
  -0.21621274E+02   0.10994345E-05   0.22577672E-06   0.99999867E+00   0.24221153E-33
  -0.21598248E+02   0.11250436E-05   0.23103573E-06   0.99999864E+00   0.26557965E-33
  -0.21575222E+02   0.11512492E-05   0.23641724E-06   0.99999861E+00   0.29120229E-33
  -0.21552196E+02   0.11780652E-05   0.24192409E-06   0.99999858E+00   0.31929695E-33
  -0.21529171E+02   0.12055058E-05   0.24755922E-06   0.99999855E+00   0.35010213E-33
  -0.21506145E+02   0.12335856E-05   0.25332561E-06   0.99999851E+00   0.38387934E-33
  -0.21483119E+02   0.12623194E-05   0.25922631E-06   0.99999848E+00   0.42091531E-33
  -0.21460093E+02   0.12917226E-05   0.26526446E-06   0.99999844E+00   0.46152445E-33
  -0.21437067E+02   0.13218106E-05   0.27144325E-06   0.99999841E+00   0.50605147E-33
  -0.21414041E+02   0.13525995E-05   0.27776597E-06   0.99999837E+00   0.55487439E-33
  -0.21391016E+02   0.13841055E-05   0.28423596E-06   0.99999833E+00   0.60840764E-33
  -0.21367990E+02   0.14163454E-05   0.29085665E-06   0.99999829E+00   0.66710569E-33
  -0.21344964E+02   0.14493363E-05   0.29763156E-06   0.99999825E+00   0.73146681E-33
  -0.21321938E+02   0.14830956E-05   0.30456428E-06   0.99999821E+00   0.80203738E-33
  -0.21298912E+02   0.15176413E-05   0.31165848E-06   0.99999817E+00   0.87941646E-33
  -0.21275886E+02   0.15529916E-05   0.31891792E-06   0.99999813E+00   0.96426094E-33
  -0.21252860E+02   0.15891654E-05   0.32634646E-06   0.99999808E+00   0.10572910E-32
  -0.21229835E+02   0.16261817E-05   0.33394803E-06   0.99999804E+00   0.11592965E-32
  -0.21206809E+02   0.16640603E-05   0.34172666E-06   0.99999799E+00   0.12711433E-32
  -0.21183783E+02   0.17028211E-05   0.34968649E-06   0.99999795E+00   0.13937809E-32
  -0.21160757E+02   0.17424849E-05   0.35783171E-06   0.99999790E+00   0.15282502E-32
  -0.21137731E+02   0.17830725E-05   0.36616667E-06   0.99999785E+00   0.16756930E-32
  -0.21114705E+02   0.18246055E-05   0.37469576E-06   0.99999780E+00   0.18373607E-32
  -0.21091679E+02   0.18671059E-05   0.38342353E-06   0.99999775E+00   0.20146259E-32
  -0.21068654E+02   0.19105963E-05   0.39235459E-06   0.99999770E+00   0.22089932E-32
  -0.21045628E+02   0.19550997E-05   0.40149368E-06   0.99999764E+00   0.24221128E-32
  -0.21022602E+02   0.20006397E-05   0.41084565E-06   0.99999759E+00   0.26557937E-32
  -0.20999576E+02   0.20472405E-05   0.42041545E-06   0.99999753E+00   0.29120197E-32
  -0.20976550E+02   0.20949267E-05   0.43020816E-06   0.99999747E+00   0.31929660E-32
  -0.20953524E+02   0.21437237E-05   0.44022897E-06   0.99999742E+00   0.35010174E-32
  -0.20930498E+02   0.21936573E-05   0.45048319E-06   0.99999736E+00   0.38387890E-32
  -0.20907473E+02   0.22447540E-05   0.46097626E-06   0.99999729E+00   0.42091481E-32
  -0.20884447E+02   0.22970409E-05   0.47171375E-06   0.99999723E+00   0.46152389E-32
  -0.20861421E+02   0.23505457E-05   0.48270134E-06   0.99999717E+00   0.50605085E-32
  -0.20838395E+02   0.24052968E-05   0.49394487E-06   0.99999710E+00   0.55487368E-32
  -0.20815369E+02   0.24613232E-05   0.50545029E-06   0.99999703E+00   0.60840685E-32
  -0.20792343E+02   0.25186546E-05   0.51722370E-06   0.99999696E+00   0.66710480E-32
  -0.20769318E+02   0.25773214E-05   0.52927136E-06   0.99999689E+00   0.73146582E-32
  -0.20746292E+02   0.26373547E-05   0.54159963E-06   0.99999682E+00   0.80203626E-32
  -0.20723266E+02   0.26987864E-05   0.55421506E-06   0.99999675E+00   0.87941521E-32
  -0.20700240E+02   0.27616490E-05   0.56712435E-06   0.99999667E+00   0.96425953E-32
  -0.20677214E+02   0.28259759E-05   0.58033433E-06   0.99999659E+00   0.10572895E-31
  -0.20654188E+02   0.28918011E-05   0.59385200E-06   0.99999651E+00   0.11592948E-31
  -0.20631162E+02   0.29591595E-05   0.60768454E-06   0.99999643E+00   0.12711413E-31
  -0.20608137E+02   0.30280869E-05   0.62183928E-06   0.99999635E+00   0.13937786E-31
  -0.20585111E+02   0.30986199E-05   0.63632373E-06   0.99999627E+00   0.15282477E-31
  -0.20562085E+02   0.31707957E-05   0.65114555E-06   0.99999618E+00   0.16756902E-31
  -0.20539059E+02   0.32446528E-05   0.66631262E-06   0.99999609E+00   0.18373576E-31
  -0.20516033E+02   0.33202301E-05   0.68183298E-06   0.99999600E+00   0.20146224E-31
  -0.20493007E+02   0.33975679E-05   0.69771484E-06   0.99999590E+00   0.22089893E-31
  -0.20469981E+02   0.34767071E-05   0.71396664E-06   0.99999581E+00   0.24221083E-31
  -0.20446956E+02   0.35576897E-05   0.73059699E-06   0.99999571E+00   0.26557887E-31
  -0.20423930E+02   0.36405586E-05   0.74761470E-06   0.99999561E+00   0.29120141E-31
  -0.20400904E+02   0.37253577E-05   0.76502881E-06   0.99999551E+00   0.31929597E-31
  -0.20377878E+02   0.38121320E-05   0.78284854E-06   0.99999541E+00   0.35010103E-31
  -0.20354852E+02   0.39009275E-05   0.80108334E-06   0.99999530E+00   0.38387811E-31
  -0.20331826E+02   0.39917914E-05   0.81974287E-06   0.99999519E+00   0.42091393E-31
  -0.20308801E+02   0.40847717E-05   0.83883704E-06   0.99999508E+00   0.46152289E-31
  -0.20285775E+02   0.41799178E-05   0.85837597E-06   0.99999496E+00   0.50604973E-31
  -0.20262749E+02   0.42772801E-05   0.87837001E-06   0.99999484E+00   0.55487243E-31
  -0.20239723E+02   0.43769102E-05   0.89882977E-06   0.99999472E+00   0.60840545E-31
  -0.20216697E+02   0.44788610E-05   0.91976609E-06   0.99999460E+00   0.66710323E-31
  -0.20193671E+02   0.45831865E-05   0.94119008E-06   0.99999448E+00   0.73146405E-31
  -0.20170645E+02   0.46899420E-05   0.96311309E-06   0.99999435E+00   0.80203428E-31
  -0.20147620E+02   0.47991841E-05   0.98554674E-06   0.99999422E+00   0.87941299E-31
  -0.20124594E+02   0.49109708E-05   0.10085029E-05   0.99999408E+00   0.96425703E-31
  -0.20101568E+02   0.50253613E-05   0.10319938E-05   0.99999394E+00   0.10572867E-30
  -0.20078542E+02   0.51424163E-05   0.10560319E-05   0.99999380E+00   0.11592916E-30
  -0.20055516E+02   0.52621978E-05   0.10806299E-05   0.99999366E+00   0.12711378E-30
  -0.20032490E+02   0.53847694E-05   0.11058009E-05   0.99999351E+00   0.13937747E-30
  -0.20009464E+02   0.55101959E-05   0.11315581E-05   0.99999336E+00   0.15282433E-30
  -0.19986439E+02   0.56385440E-05   0.11579153E-05   0.99999320E+00   0.16756852E-30
  -0.19963413E+02   0.57698817E-05   0.11848864E-05   0.99999305E+00   0.18373520E-30
  -0.19940387E+02   0.59042785E-05   0.12124858E-05   0.99999288E+00   0.20146161E-30
  -0.19917361E+02   0.60418058E-05   0.12407280E-05   0.99999272E+00   0.22089822E-30
  -0.19894335E+02   0.61825365E-05   0.12696280E-05   0.99999255E+00   0.24221004E-30
  -0.19871309E+02   0.63265452E-05   0.12992012E-05   0.99999237E+00   0.26557799E-30
  -0.19848284E+02   0.64739082E-05   0.13294633E-05   0.99999220E+00   0.29120042E-30
  -0.19825258E+02   0.66247037E-05   0.13604302E-05   0.99999201E+00   0.31929485E-30
  -0.19802232E+02   0.67790116E-05   0.13921185E-05   0.99999183E+00   0.35009978E-30
  -0.19779206E+02   0.69369137E-05   0.14245448E-05   0.99999164E+00   0.38387670E-30
  -0.19756180E+02   0.70984938E-05   0.14577264E-05   0.99999144E+00   0.42091235E-30
  -0.19733154E+02   0.72638376E-05   0.14916809E-05   0.99999124E+00   0.46152112E-30
  -0.19710128E+02   0.74330326E-05   0.15264263E-05   0.99999104E+00   0.50604775E-30
  -0.19687103E+02   0.76061685E-05   0.15619810E-05   0.99999083E+00   0.55487020E-30
  -0.19664077E+02   0.77833373E-05   0.15983639E-05   0.99999062E+00   0.60840295E-30
  -0.19641051E+02   0.79646328E-05   0.16355942E-05   0.99999040E+00   0.66710042E-30
  -0.19618025E+02   0.81501511E-05   0.16736917E-05   0.99999018E+00   0.73146091E-30
  -0.19594999E+02   0.83399906E-05   0.17126766E-05   0.99998995E+00   0.80203075E-30
  -0.19571973E+02   0.85342519E-05   0.17525696E-05   0.99998971E+00   0.87940903E-30
  -0.19548947E+02   0.87330381E-05   0.17933918E-05   0.99998947E+00   0.96425259E-30
  -0.19525922E+02   0.89364545E-05   0.18351648E-05   0.99998923E+00   0.10572817E-29
  -0.19502896E+02   0.91446090E-05   0.18779108E-05   0.99998898E+00   0.11592860E-29
  -0.19479870E+02   0.93576119E-05   0.19216524E-05   0.99998872E+00   0.12711315E-29
  -0.19456844E+02   0.95755761E-05   0.19664130E-05   0.99998846E+00   0.13937676E-29
  -0.19433818E+02   0.97986173E-05   0.20122161E-05   0.99998819E+00   0.15282354E-29
  -0.19410792E+02   0.10026854E-04   0.20590860E-05   0.99998791E+00   0.16756763E-29
  -0.19387766E+02   0.10260406E-04   0.21070477E-05   0.99998763E+00   0.18373421E-29
  -0.19364741E+02   0.10499399E-04   0.21561265E-05   0.99998734E+00   0.20146049E-29
  -0.19341715E+02   0.10743958E-04   0.22063485E-05   0.99998705E+00   0.22089697E-29
  -0.19318689E+02   0.10994214E-04   0.22577403E-05   0.99998675E+00   0.24220864E-29
  -0.19295663E+02   0.11250298E-04   0.23103291E-05   0.99998644E+00   0.26557641E-29
  -0.19272637E+02   0.11512348E-04   0.23641428E-05   0.99998612E+00   0.29119865E-29
  -0.19249611E+02   0.11780501E-04   0.24192100E-05   0.99998580E+00   0.31929287E-29
  -0.19226586E+02   0.12054900E-04   0.24755598E-05   0.99998547E+00   0.35009755E-29
  -0.19203560E+02   0.12335691E-04   0.25332222E-05   0.99998513E+00   0.38387420E-29
  -0.19180534E+02   0.12623021E-04   0.25922276E-05   0.99998478E+00   0.42090955E-29
  -0.19157508E+02   0.12917045E-04   0.26526074E-05   0.99998443E+00   0.46151798E-29
  -0.19134482E+02   0.13217917E-04   0.27143936E-05   0.99998407E+00   0.50604422E-29
  -0.19111456E+02   0.13525796E-04   0.27776189E-05   0.99998370E+00   0.55486625E-29
  -0.19088430E+02   0.13840847E-04   0.28423169E-05   0.99998332E+00   0.60839851E-29
  -0.19065405E+02   0.14163237E-04   0.29085218E-05   0.99998293E+00   0.66709544E-29
  -0.19042379E+02   0.14493135E-04   0.29762688E-05   0.99998253E+00   0.73145531E-29
  -0.19019353E+02   0.14830717E-04   0.30455938E-05   0.99998212E+00   0.80202448E-29
  -0.18996327E+02   0.15176163E-04   0.31165335E-05   0.99998171E+00   0.87940199E-29
