   9999999999.00000        2.06674186110929     
   9772372208.55811        1.97372316205720     
   9549925859.21437        1.88489099393088     
   9332543006.96992        1.80005693180370     
   9120108392.55910        1.71904103126761     
   8912509380.33746        1.64167144674694     
   8709635898.56082        1.56778406699090     
   8511380381.02377        1.49722216697164     
   8317637710.02672        1.42983607544940     
   8128305160.64100        1.36548285749983     
   7943282346.24283        1.30402601132979     
   7762471165.28693        1.24533517873879     
   7585775749.29185        1.18928586861176     
   7413102412.00919        1.13575919285669     
   7244359599.74991        1.08464161422711     
   7079457842.84139        1.03582470549432     
   6918309708.18938       0.989204919458706     
   6760829752.91983       0.944683369312288     
   6606934479.07595       0.902165618886513     
   6456542289.34655       0.861561482340516     
   6309573443.80192       0.822784832864829     
   6165950017.61481       0.785753419994897     
   6025595859.74357       0.750388695146815     
   5888436552.55588       0.716615645005257     
   5754399372.37156       0.684362632410176     
   5623413250.90349       0.653561244404788     
   5495408737.57624       0.624146147122526     
   5370317962.70252       0.596054947205149     
   5248074601.49772       0.569228059458069     
   5128613838.91365       0.543608580462168     
   5011872335.27272       0.519142167874022     
   4897788192.68446       0.495776925158506     
   4786300922.22638       0.473463291509288     
   4677351411.87198       0.452153936723719     
   4570881895.14875       0.431803660809132     
   4466835920.50963       0.412369298107596     
   4365158321.40166       0.393809625735775     
   4265795187.01593       0.376085276145668     
   4168693833.70336       0.359158653620763     
   4073802777.04113       0.342993854530486     
   3981071704.53498       0.327556591173789     
   3890451448.94281       0.312814119050342     
   3801893962.20562       0.298735167405059     
   3715352289.97173       0.285289872898639     
   3630780546.70102       0.272449716263420     
   3548133891.33576       0.260187461810192     
   3467368503.52532       0.248477099657650     
   3388441560.39203       0.237293790561953     
   3311311213.82592       0.226613813229357     
   3235936568.29629       0.216414514000175     
   3162277659.16838       0.206674258797329     
   3090295431.51360       0.197372387237575     
   3019951719.40202       0.188489168808060     
   2951209225.66639       0.180005761015264     
   2884031502.12661       0.171904169417543     
   2818382930.26446       0.164167209456513     
   2754228702.33817       0.156778470006295     
   2691534802.92691       0.149722278563319     
   2630267990.89538       0.142983668002849     
   2570395781.76886       0.136548344831701     
   2511886430.50958       0.130402658869833     
   2454708914.68503       0.124533574296481     
   2398832918.01949       0.118928641999442     
   2344228814.31992       0.113575973168835     
   2290867651.76777       0.108464214079346     
   2238721137.56834       0.103582522007454     
   2187761622.94955       9.892054223256480E-002
   2137962088.50223       9.446838607325758E-002
   2089296129.85404       9.021660991207099E-002
   2041737943.66953       8.615619516432427E-002
   1995262313.96888       8.227852914849153E-002
   1949844598.75805       7.857538681755097E-002
   1905460716.96325       7.503891331255866E-002
   1862087135.66287       7.166160730144089E-002
   1819700857.60998       6.843630506766440E-002
   1778279409.03892       6.535616531503437E-002
   1737800827.74938       6.241465465638912E-002
   1698243651.46175       5.960553375541129E-002
   1659586906.43756       5.692284409215998E-002
   1621810096.35893       5.436089532425235E-002
   1584893191.46111       5.191425321688551E-002
   1548816617.91248       4.957772811609701E-002
   1513561247.43621       4.734636394081407E-002
   1479108387.16821       4.521542767034219E-002
   1445439769.74593       4.318039930499462E-002
   1412537543.62276       4.123696227856803E-002
   1380384263.60289       3.938099430232784E-002
   1348962881.59166       3.760855862108205E-002
   1318256737.55641       3.591589566279654E-002
   1288249550.69314       3.429941506403969E-002
   1258925410.79417       3.275568805434075E-002
   1230268769.81238       3.128144018330978E-002
   1202264433.61741       2.987354437508878E-002
   1174897553.93953       2.852901429540632E-002
   1148153620.49688       2.724499801716267E-002
   1122018453.30196       2.601877197111088E-002
   1096478195.14318       2.484773516880198E-002
   1071519304.23761       2.372940368554054E-002
   1047128547.05090       2.266140539164803E-002
   1023292991.28075       2.164147492085850E-002
   999999998.999999       2.066744886517367E-002
   977237219.955810       1.973726118598520E-002
   954992585.021435       1.884893883173044E-002
   933254299.796991       1.800059755278619E-002
   912010838.355909       1.719043790472329E-002
   891250937.133745       1.641674143144429E-002
   870963588.956080       1.567786702010832E-002
   851138037.202376       1.497224742011127E-002
   831763770.102671       1.429838591873776E-002
   812830515.164099       1.365485316643332E-002
   794328233.724282       1.304028414496292E-002
   776247115.628692       1.245337527202482E-002
   758577574.029184       1.189288163617824E-002
   741310240.300918       1.135761435621984E-002
   724435959.074991       1.084643805940773E-002
   707945783.384138       1.035826847318422E-002
   691830969.918937       9.892070125288793E-003
   676082974.391982       9.446854147383062E-003
   660693447.007597       9.021676177528953E-003
   645654228.034656       8.615634357070830E-003
   630957343.480194       8.227867417672823E-003
   616595000.861483       7.857552854453635E-003
   602559585.074359       7.503905181343839E-003
   588843654.355590       7.166174264965010E-003
   575439936.337158       6.843643733496663E-003
   562341324.190350       6.535629457155961E-003
   549540872.857625       6.241478097067104E-003
   537031795.370254       5.960565719442350E-003
   524807459.249774       5.692296472135164E-003
   512861382.991366       5.436101320758276E-003
   501187232.627273       5.191436841685811E-003
   489778818.368446       4.957784069379213E-003
   478630091.322638       4.734647395592241E-003
   467735140.287198       4.521553518119533E-003
   457088188.614875       4.318050436859636E-003
   446683591.150963       4.123706495062463E-003
   436515831.240166       3.938109463727750E-003
   426579517.801592       3.760865667212383E-003
   416869382.470335       3.591599148191852E-003
   407380276.804112       3.429950870204657E-003
   398107169.553497       3.275577956088100E-003
   389045143.994280       3.128152960690128E-003
   380189395.320561       2.987363176314522E-003
   371535228.097172       2.852909969426214E-003
   363078053.770101       2.724508147209760E-003
   354813388.233575       2.601885352637396E-003
   346736849.452532       2.484781486763503E-003
   338844155.139203       2.372948157020105E-003
   331131120.482591       2.266148150343163E-003
