 -0.18420681E+002  0.10000000E+001 -0.10000000E+001  0.15000000E+001  0.15000000E+001  0.47142429E-004  0.47142429E-004  0.50000000E+000 -0.15714143E-004
 -0.18383813E+002  0.99999971E+000 -0.99999967E+000  0.15000009E+001  0.15000009E+001  0.48912903E-004  0.48912903E-004  0.50000029E+000 -0.16304301E-004
 -0.18346945E+002  0.99999944E+000 -0.99999940E+000  0.15000017E+001  0.15000017E+001  0.50749866E-004  0.50749866E-004  0.50000056E+000 -0.16916622E-004
 -0.18310077E+002  0.99999919E+000 -0.99999915E+000  0.15000024E+001  0.15000024E+001  0.52655815E-004  0.52655815E-004  0.50000081E+000 -0.17551938E-004
 -0.18273209E+002  0.99999895E+000 -0.99999891E+000  0.15000031E+001  0.15000031E+001  0.54633340E-004  0.54633340E-004  0.50000105E+000 -0.18211113E-004
 -0.18236341E+002  0.99999873E+000 -0.99999869E+000  0.15000038E+001  0.15000038E+001  0.56685129E-004  0.56685129E-004  0.50000127E+000 -0.18895043E-004
 -0.18199474E+002  0.99999852E+000 -0.99999847E+000  0.15000045E+001  0.15000045E+001  0.58813972E-004  0.58813972E-004  0.50000148E+000 -0.19604657E-004
 -0.18162606E+002  0.99999831E+000 -0.99999827E+000  0.15000051E+001  0.15000051E+001  0.61022762E-004  0.61022762E-004  0.50000169E+000 -0.20340921E-004
 -0.18125738E+002  0.99999812E+000 -0.99999807E+000  0.15000057E+001  0.15000057E+001  0.63314501E-004  0.63314501E-004  0.50000188E+000 -0.21104834E-004
 -0.18088870E+002  0.99999793E+000 -0.99999788E+000  0.15000062E+001  0.15000062E+001  0.65692305E-004  0.65692305E-004  0.50000207E+000 -0.21897435E-004
 -0.18052002E+002  0.99999774E+000 -0.99999769E+000  0.15000068E+001  0.15000068E+001  0.68159406E-004  0.68159406E-004  0.50000226E+000 -0.22719802E-004
 -0.18015134E+002  0.99999756E+000 -0.99999751E+000  0.15000073E+001  0.15000073E+001  0.70719157E-004  0.70719157E-004  0.50000244E+000 -0.23573052E-004
 -0.17978267E+002  0.99999739E+000 -0.99999733E+000  0.15000078E+001  0.15000078E+001  0.73375037E-004  0.73375037E-004  0.50000262E+000 -0.24458346E-004
