 -0.18420681E+002  0.10000000E+001 -0.10000000E+001  0.15000000E+001  0.15000000E+001  0.13448675E-003  0.13448675E-003  0.50000000E+000 -0.44828916E-004
 -0.18383813E+002  0.99999971E+000 -0.99999967E+000  0.15000009E+001  0.15000009E+001  0.13953752E-003  0.13953752E-003  0.50000029E+000 -0.46512505E-004
 -0.18346945E+002  0.99999944E+000 -0.99999940E+000  0.15000017E+001  0.15000017E+001  0.14477796E-003  0.14477796E-003  0.50000056E+000 -0.48259319E-004
 -0.18310077E+002  0.99999919E+000 -0.99999915E+000  0.15000024E+001  0.15000024E+001  0.15021520E-003  0.15021520E-003  0.50000081E+000 -0.50071734E-004
 -0.18273209E+002  0.99999895E+000 -0.99999891E+000  0.15000032E+001  0.15000032E+001  0.15585664E-003  0.15585663E-003  0.50000105E+000 -0.51952212E-004
 -0.18236341E+002  0.99999873E+000 -0.99999868E+000  0.15000038E+001  0.15000038E+001  0.16170993E-003  0.16170993E-003  0.50000128E+000 -0.53903310E-004
 -0.18199474E+002  0.99999851E+000 -0.99999847E+000  0.15000045E+001  0.15000045E+001  0.16778304E-003  0.16778304E-003  0.50000149E+000 -0.55927680E-004
 -0.18162606E+002  0.99999831E+000 -0.99999826E+000  0.15000051E+001  0.15000051E+001  0.17408422E-003  0.17408422E-003  0.50000170E+000 -0.58028073E-004
 -0.18125738E+002  0.99999811E+000 -0.99999806E+000  0.15000057E+001  0.15000057E+001  0.18062204E-003  0.18062204E-003  0.50000189E+000 -0.60207345E-004
 -0.18088870E+002  0.99999792E+000 -0.99999787E+000  0.15000063E+001  0.15000063E+001  0.18740538E-003  0.18740538E-003  0.50000208E+000 -0.62468459E-004
 -0.18052002E+002  0.99999774E+000 -0.99999768E+000  0.15000068E+001  0.15000068E+001  0.19444346E-003  0.19444346E-003  0.50000227E+000 -0.64814486E-004
 -0.18015134E+002  0.99999756E+000 -0.99999750E+000  0.15000074E+001  0.15000074E+001  0.20174585E-003  0.20174585E-003  0.50000245E+000 -0.67248617E-004
 -0.17978267E+002  0.99999738E+000 -0.99999732E+000  0.15000079E+001  0.15000079E+001  0.20932248E-003  0.20932248E-003  0.50000263E+000 -0.69774160E-004
 -0.17941399E+002  0.99999720E+000 -0.99999714E+000  0.15000084E+001  0.15000084E+001  0.21718365E-003  0.21718364E-003  0.50000281E+000 -0.72394548E-004
