 -0.18420681E+002  0.10000000E+001 -0.10000000E+001  0.15000000E+001  0.15000000E+001  0.34948815E-003  0.34948815E-003  0.50000000E+000 -0.11649605E-003
 -0.18383813E+002  0.99999971E+000 -0.99999967E+000  0.15000009E+001  0.15000009E+001  0.36261348E-003  0.36261348E-003  0.50000030E+000 -0.12087116E-003
 -0.18346945E+002  0.99999943E+000 -0.99999939E+000  0.15000017E+001  0.15000017E+001  0.37623172E-003  0.37623172E-003  0.50000057E+000 -0.12541057E-003
 -0.18310077E+002  0.99999918E+000 -0.99999913E+000  0.15000025E+001  0.15000025E+001  0.39036138E-003  0.39036138E-003  0.50000083E+000 -0.13012046E-003
 -0.18273209E+002  0.99999893E+000 -0.99999889E+000  0.15000032E+001  0.15000032E+001  0.40502167E-003  0.40502167E-003  0.50000108E+000 -0.13500722E-003
 -0.18236341E+002  0.99999870E+000 -0.99999866E+000  0.15000039E+001  0.15000039E+001  0.42023251E-003  0.42023251E-003  0.50000131E+000 -0.14007750E-003
 -0.18199474E+002  0.99999849E+000 -0.99999844E+000  0.15000046E+001  0.15000046E+001  0.43601459E-003  0.43601458E-003  0.50000154E+000 -0.14533819E-003
 -0.18162606E+002  0.99999828E+000 -0.99999823E+000  0.15000052E+001  0.15000052E+001  0.45238934E-003  0.45238934E-003  0.50000175E+000 -0.15079645E-003
 -0.18125738E+002  0.99999808E+000 -0.99999803E+000  0.15000059E+001  0.15000059E+001  0.46937904E-003  0.46937903E-003  0.50000195E+000 -0.15645968E-003
 -0.18088870E+002  0.99999788E+000 -0.99999783E+000  0.15000065E+001  0.15000065E+001  0.48700678E-003  0.48700677E-003  0.50000215E+000 -0.16233559E-003
 -0.18052002E+002  0.99999770E+000 -0.99999764E+000  0.15000070E+001  0.15000070E+001  0.50529651E-003  0.50529650E-003  0.50000235E+000 -0.16843217E-003
 -0.18015134E+002  0.99999751E+000 -0.99999746E+000  0.15000076E+001  0.15000076E+001  0.52427310E-003  0.52427308E-003  0.50000254E+000 -0.17475769E-003
